font_family,count
Cubao Wide,658
Cy Grotesk Grand,3228
Cy Grotesk Key,9707
Cy Grotesk Wide,3604
DG Jory,2226
DIN Next,908
DM Sans,40000
DM Serif Display,17451
Dancing Script,1180
Darker Grotesque,4566
Darumadrop One,910
Daydream,3472
Decalotype,3034
DejaVu Serif,1389
Dekko,5008
Della Respira,4225
Didact Gothic,4909
Dingos Stamp,1763
Disket Mono,811
Dosis,7659
Doublebass,1421
Dream Avenue,10557
Dreaming Outloud All Caps,2195
Dreaming Outloud Sans,8641
Dreaming Outloud Sans Alt,3041
Dreaming Outloud Script,1885
Droid Serif,7942
Drukaatie Burti,1146
Duru Sans,638
Dynapuff,2832
EB Garamond,4430
EFCO Brookshire,2454
Eastman Grotesque,5434
Eastman Pack,759
Economica,802
Eczar,6498
Edo,2529
Elika Gorica,1792
Engagement,846
Etna Sans Serif,7786
Evolve Sans,4656
Evolventa,965
Exo 2,1365
Extenda 30 Deca,1636
Extenda 40 Hecto,963
Extenda 50 Mega,861
Extenda 60 Giga,1078
Eyesome Script,2398
FF Providence Sans,3511
Fahkwang,1536
Farro,1593
Feel Free Playful,1105
Feeling Passionate,3402
Fibre,1645
Finger Paint,2008
Fira Code,5578
Fira Sans,5376
Flatory Sans,1161
Foda Display,857
Formula,933
Forum,6056
Francois One,1722
Frankfurter Medium,680
Fraunces,7386
Fredoka,32045
Frunchy Sage,2014
Frutiger,869
Funtastic,10322
Futura,23987
Futura Display,1582
Gabriel Sans,4057
Gabriel Sans Condensed,2373
Gaegu,17233
Gagalin,8161
Gamja Flower,831
Garamond,2262
Garbata,1260
Garet,40000
Garet ExtraBold,5681
Garuda,798
Gatwick,8102
Gayathri,649
Gellatio,1046
Genty,4486
Genty Sans,11942
Georgia Pro,2546
Georgia Pro Condensed,903
Germania One,1232
Giaza,3346
Gidole,2673
Gilam,797
Gilda Display,2468
Gill Sans,1101
Gill Sans Display,677
Gilroy,2726
Gistesy,5118
Glacial Indifference,40000
Gladiola,1476
Glass Antiqua,1728
Gliker,7163
Gliker Expanded,1045
Gliker condensed,770
Glock Grotesk,1164
Gloria Hallelujah,1751
Gluten,993
Gochi Hand,4700
GoodTime Grotesk,724
Gordita,14992
Gotham,40001
Gotham Condensed,1472
Goudy,1043
Grand Hotel,1239
Great Vibes,4657
Grenze,965
Greycliff,1766
Gulfs Display,6114
HK Gothic,2470
HK Grotesk,37038
HK Grotesk Bold,651
HK Grotesk Pro,4465
HK Modular,3498
HK Sentiments,1386
Hagrid,6150
Hagrid Text,5128
Halant,940
Halimum,7586
Halley,2237
Hammersmith One,6895
HandMade,1439
Handelson Four,1568
Handelson One,919
Handelson Three,1526
Handy Casual,11942
Handyman,7142
Hangyaboly,2334
Hanuman,738
Happy Font TH,2108
Harmattan,2113
Harnet Serif,1472
Hatton,15113
Heading Now 31-38,2686
Heading Now 61-68,2177
Heading Now 71-78,6330
Heading Now 91-98,1645
Heebo,4090
Helios,8816
Helios Extended,5366
Helvetica,3172
Helvetica Now,13216
Helvetica Now Condensed,715
Helvetica Now Display,5303
Helvetica World,40005
Helveticish,5176
Hero,16255
Hertical,742
Hey Gotcha!,1387
Hibernate,1409
High Cruiser,1765
Higuen Elegant Serif,6723
Hind Guntur,1480
Hit and Run,1495
Hitchcut,1437
Hobo,651
Holiday,7313
Hollywood,898
Homemade Apple,1743
Horizon,17181
Hussar Bold,3021
IBM Plex Mono,4436
IBM Plex Sans,9458
IBM Plex Sans Condensed,1932
IBM Plex Serif,3407
IM Fell,2147
ITC Avant Garde Gothic,7739
ITC Bauhaus,994
ITC Benguiat,1614
ITC Edwardian Script,1050
ITC Franklin Gothic LT,1427
ITC Motter Corpus Condensed,1371
ITC Motter Corpus Regular,1028
ITC Motter Corpus Semicondensed,1116
Ibarra Real Nova,2552
Impact,5609
Inria Serif,6675
Inter,40013
Intro,2105
Intro Pro,2150
Intro Rust,6656
Intro Rust G Base2Line,932
Intro Script,931
IreneFlorentina,7148
Itim,1508
JA Jayagiri Sans,1377
JA Jayagiri Sans Rough,796
Jaturat,1002
Jeepers,3418
JetBrains Mono,3853
Jimmy Script,2085
Jingleberry,2012
Jonathan,1641
Josefin Sans,27270
Josefin Slab,1129
Jua,20590
Julius Sans One,2502
Just Another Hand,1160
KG Primary Dots,5138
KG Primary Dots Lined,4511
KG Primary Penmanship,40144
KG Primary Penmanship Lined,969
Kabel,1332
Kaftus,911
Kage,775
Kalam,1940
Kapsalon,692
Kaushan Script,1890
Kelin Eator,952
Kenao Sans Serif,1702
Khand,689
Kingred Modern,4869
Kingred Youth,982
Kite One,745
Kitsch Display,1178
Klein,5089
Klein Condensed,1003
Klemer Display,636
Knewave,3567
Knockout Cruiserweight,1329
Knockout Welterweight,682
Kollektif,21833
Krub,1204
Kuchek,750
Kudryashev Display,819
Kudryashev Display Sans,877
Kulachat Serif,1669
Kulachat Slab,715
La Lou,1548
La Luxes Serif,696
Laila,1436
Lancelot,1487
Lastica,1604
Lato,40000
Lato Heavy,1048
Lavonia Classy,1702
Lazord Sans Serif,907
Lazord Sans Serif Expanded,760
Lazydog,24547
Le Jour Script,1711
Le Jour Serif,3623
Le Petit Cochon,4812
League Gothic,11336
League Spartan,40000
Leckerli One,692
Lekton,3012
Lemon Tuesday,1622
Lexend Deca,14654
Lexend Exa,2842
Lexend Giga,651
Lexend Mega,873
Liberation Sans,2345
Libra Serif Modern,1793
Libre Baskerville,24792
Libre Franklin,8345
Life Savers,1387
Lilita One,18470
Limelight,985
Linotype Feltpen,1325
Linux Biolinum,1882
Literata,1890
Literaturnaya,2809
Livvic,16427
Lobster,1864
Lobster Two,1723
London,745
Londrina Solid,9098
Lora,32454
Loubag,5127
Lovelace,3480
Lovelace Text,1483
Lovelo,10039
Lovely May Script,673
Lovera,1202
Lucidity Condensed,4042
Lucidity Expand,1274
Luciole,1978
Luckiest Guy,4701
Lucky Bones,3524
Lulu Font TH,1832
Lumios Brush,1013
Lumios Marker,1685
Lustria,3121
Luthier,741
Madelyn,1095
Maely,815
Magnolia Script,2225
Maharlika,4683
Majesty,671
Mak,824
Mali,5284
Malibu,904
Malik,818
Mango AC,5410
Manison,672
Manjari,5656
Mansalva,2846
Maragsa,3685
Marcellus,6060
March,2366
March Rough,788
Mardoto,1330
Margin,1345
Marta,1518
Martel,1226
Martel Sans,995
Marykate,18524
Maven Pro,1593
MediaPro,668
Merriweather,2927
Merriweather Sans,923
Michegar,1079
Michroma,708
Migra,7291
Milk Tea Font TH,2070
Mina,1032
Mistrully,4412
Mokoto,1295
Mommi,1328
Monda,678
Monkey,625
Mont,37505
Montagna,1359
Montaser Arabic,14583
Monterchi,983
Monterchi Serif,2044
Montserrat,40001
Montserrat Classic,40005
Montserrat Light,11144
Monument,6698
Moonjelly,691
Moonlight,2291
Moontime,9484
More Sugar,34901
Morisawa Role Sans Text Pro,2149
Mr Dafoe,2249
Mukti,1492
Muli,21720
Mulled Wine Season,1278
Muller,4549
Museo Moderno,1590
Nautilius Pompilius,680
Nectarine,1997
Negrita Pro,886
Neo Sans,654
Neo Tech,632
Neue Einstellung,7606
Neue Machina,19353
Neue Montreal,16817
New Icon,890
New Icon Script,839
New Sun Playful,1715
Nexa,6357
Nexa Script,1472
Nexa Slab,709
Nickainley,2946
Niconne,897
Noah,1579
Noot,1920
Norwester,16045
Noticia Text,728
Noto Sans,6006
Noto Serif,6084
Noto Serif Display,5336
Noto Serif Display ExtraCondensed,7205
Noto Serif Ethiopic Condensed,1055
Nourd,25239
Nove,658
Now,40001
Nunito,40001
Nunito Bold,3769
Nunito Sans,13792
Nunito Sans Condensed,2221
Nunito Sans Expanded,1661
Object Sans,4775
Obra Letra,1113
Oilvare Base,1243
Old Standard,2807
Oleo Script,1652
One Little Font,17454
Open Sans,40009
Open Sans Bold,2700
Open Sans Condensed,1382
Open Sans Extra Bold,23259
Open Sans Hebrew,832
Open Sans Light,5202
Open Sauce,40005
Opun,849
Opun Mai,1267
Oregano,1991
Oswald,21826
Overpass,3115
Overpass Light,1373
Ovo,12242
PT Sans,9743
PT Serif,5715
Paalalabas Condensed,908
Paalalabas Wide,2230
Pacifico,2530
Pagkaki,2118
Pangolin,1513
Panton,984
Para,1499
Parisienne,2238
Passion One,1274
Pathway Gothic One,1209
Pattanakarn,1166
Paytone One,1238
Peace Sans,5809
Perandory,2095
Perandory Condensed,1917
Permanent Marker,1507
Pierson,969
Pinyon Script,5247
Placard Next Wide,800
Play,1689
Playfair Display,38560
Playfair Display SC,2045
Playlist Script,9208
Playpen Sans,7369
Playwrite US Modern,914
Pluma,4617
Podkova,1106
Poetsen,1434
Pompiere,1659
Poppins,40018
Poppins Bold,11069
Poppins Light,24884
Poppins Medium,26066
Porcelain,2319
Portland,659
Prachason Neue,1499
Pragmatica,2255
Pragmatica Extended,1099
Prata,2657
Press Start 2P,744
Prompt,9117
Proxima Nova,27044
Proxima Nova Condensed,629
Public Sans,40008
Puimek Font TH,1272
Quando,915
Quattrocento,7176
Questrial,20694
Quiche,2753
Quicksand,40001
Quincy,3646
Racing Sans One,2277
Radley,6222
Radnika Next,2224
Railey,1776
Rajdhani,1088
Rakkas,816
Raleway,40003
Rasputin,4691
Recoleta,2484
Recoleta Alt,833
Red Hat Display,18023
Redressed,1017
Regular Brush,2190
Repo,772
Retropix,1551
Ribeye,1119
Roboto,40001
Roboto Condensed,13054
Roboto Mono,9181
Roboto Slab,5116
Roca One,7328
Roca Two,6296
Roller Coaster Serif,1026
Romman,1469
Rosario,6815
RoxboroughCF,31598
Rubik,11706
Rubik Mono,725
Rubik One,4629
Ruda,4276
Rugrats Sans,3411
Rundeck,658
Rushk,933
Rustic Printed,2213
Rye,957
Sacramento,1519
Safira March,4523
Sailors,3678
Sailors Condensed,727
Saira,3095
Saira Condensed,3586
Sanchez,5750
Sansation,1029
Sansita,1084
Sarabun,1297
Satisfy,1789
Sawarabi Mincho,824
Schoolbell,4840
Scripter,5658
Segment A,914
Sego,1433
Selima,895
Sensa Wild Fill,1038
Sensei,4043
Sergio Trendy,3528
Shadows Into Light Two,968
Shantell Sans,2545
Shlop,723
Shrikhand,7993
Sifonn,6053
Sigher,3729
Signature,2725
Signika,2793
Simonetta,3179
Singel,665
Six Caps,997
Six Hands Marker,1052
Slight,711
Sloop Script Pro,7327
Slopes,1292
Sniglet,26311
Solomon Sans,3290
Solway,5224
Some Time Later,826
Sondos,3590
Sorts Mill Goudy,2179
Source Sans Pro,16388
Source Serif Pro,5195
Space Mono,10142
Special Elite,4000
Sports World,1595
Sprite Graffiti,923
Squada One,5638
Sriracha,803
